volt,cap
0.0,100.00000000
0.1,99.97919059
0.2,99.91675294
0.3,99.81269650
0.4,99.66701180
0.5,99.47970830
0.6,99.25077650
0.7,98.98022600
0.8,98.66805600
0.9,98.31425900
1.0,97.91883300
1.1,97.48178800
1.2,97.00312500
1.3,96.48283300
1.4,95.92091300
1.5,95.31737400
1.6,94.67221600
1.7,93.98543100
1.8,93.25702600
1.9,92.48699300
2.0,91.67534200
2.1,90.82206200
2.2,89.92716000
2.3,88.99063000
2.4,88.01249000
2.5,86.99271000
2.6,85.93132000
2.7,84.82830000
2.8,83.68366000
2.9,82.49739000
3.0,81.26951000
3.1,80.00000000
3.2,77.50000000
3.3,75.15152000
3.4,72.94117000
3.5,70.85714000
3.6,68.88889000
3.7,67.02703000
3.8,65.26316000
3.9,63.58974000
4.0,62.00000000
4.1,60.48780000
4.2,59.04762000
4.3,57.67442000
4.4,56.36363000
4.5,55.11111000
4.6,53.91304000
4.7,52.76596000
4.8,51.66666000
4.9,50.61224000
5.0,49.60000000
5.1,48.62745000
5.2,47.69231000
5.3,46.79245000
5.4,45.92593000
5.5,45.09091000
5.6,44.28571000
5.7,43.50877000
5.8,42.75862000
5.9,42.03390000
6.0,41.33333000
6.1,40.65574000
6.2,40.00000000
6.3,39.36508000
6.4,38.75000000
6.5,38.15384000
6.6,37.57576000
6.7,37.01492000
6.8,36.47058000
6.9,35.94203000
7.0,35.42857000
7.1,34.92957000
7.2,34.44444000
7.3,33.97260000
7.4,33.51351000
7.5,33.06667000
7.6,32.63158000
7.7,32.20779000
7.8,31.79487000
7.9,31.39240000
8.0,31.00000000
8.1,30.61728000
8.2,30.24390000
8.3,29.87952000
8.4,29.52381000
8.5,29.17647000
8.6,28.83720000
8.7,28.50574000
8.8,28.18182000
8.9,27.86517000
9.0,27.55556000
9.1,27.25275000
9.2,26.95652000
9.3,26.66666000
9.4,26.38298000
9.5,26.10526000
9.6,25.83333000
9.7,25.56701000
9.8,25.30612000
9.9,25.05051000
